match_id,season,date,home_team,away_team,market,line,odds,implied_probability,model_probability,ev,confidence,kelly_fraction_full,kelly_fraction_half,kelly_fraction_quarter,decision,stake,bankroll,cumulative_profit,roi,yield,max_drawdown
774,2025/26,2025-08-30,Napoli,Cagliari,,,,,,,60.96491477459408,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
775,2025/26,2025-08-30,Parma,Atalanta,,,,,,,51.43842261927111,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
776,2025/26,2025-08-30,Pisa,Roma,,,,,,,48.00842728985272,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
777,2025/26,2025-08-31,Genoa,Juventus,,,,,,,58.760923978780596,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
778,2025/26,2025-08-31,Inter,Udinese,,,,,,,57.576753439890894,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
779,2025/26,2025-08-31,Lazio,Verona,,,,,,,66.26813698891651,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
780,2025/26,2025-08-31,Torino,Fiorentina,,,,,,,69.87785670284411,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
781,2025/26,2025-09-13,Cagliari,Parma,,,,,,,67.59715604328352,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
782,2025/26,2025-09-13,Fiorentina,Napoli,,,,,,,54.28392536354751,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
783,2025/26,2025-09-13,Juventus,Inter,,,,,,,56.64375158808056,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
784,2025/26,2025-09-14,Atalanta,Lecce,,,,,,,72.347102691344,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
785,2025/26,2025-09-14,Milan,Bologna,,,,,,,65.16433871912663,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
786,2025/26,2025-09-14,Pisa,Udinese,,,,,,,36.29310096621696,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
787,2025/26,2025-09-14,Roma,Torino,,,,,,,67.87944742270051,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
788,2025/26,2025-09-14,Sassuolo,Lazio,,,,,,,69.24867931376788,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
789,2025/26,2025-09-15,Como,Genoa,,,,,,,61.05203462793859,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
790,2025/26,2025-09-15,Verona,Cremonese,,,,,,,73.88222321545844,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
791,2025/26,2025-09-19,Lecce,Cagliari,,,,,,,72.18380387593513,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
