rank,confidence_threshold,ev_threshold,kelly_fraction,bets,watches,no_bets,win_rate,roi,yield,average_ev,average_confidence,profit,max_drawdown,average_stake,final_bankroll
37,70,0.03,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
38,70,0.03,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
39,70,0.03,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
40,70,0.05,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
41,70,0.05,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
42,70,0.05,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
43,70,0.07,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
44,70,0.07,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
45,70,0.07,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
46,75,0.01,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
47,75,0.01,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
48,75,0.01,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
49,75,0.02,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
50,75,0.02,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
51,75,0.02,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
52,75,0.03,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
53,75,0.03,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
54,75,0.03,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
55,75,0.05,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
56,75,0.05,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
57,75,0.05,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
58,75,0.07,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
59,75,0.07,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
60,75,0.07,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
61,80,0.01,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
62,80,0.01,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
63,80,0.01,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
64,80,0.02,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
65,80,0.02,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
66,80,0.02,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
67,80,0.03,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
68,80,0.03,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
69,80,0.03,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
70,80,0.05,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
71,80,0.05,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
72,80,0.05,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
73,80,0.07,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
74,80,0.07,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
75,80,0.07,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
